Timestamp,Relative Time (s),Voltage (V),Current (A),Power (W)
19:58:00.000,142.96,2.39,0.61,3.04
19:58:01.000,144.06,2.38,0.67,3.34
19:58:02.000,145.16,2.38,0.64,3.21
19:58:03.000,146.26,2.39,0.62,3.1
19:58:04.000,147.37,2.39,0.57,2.84
19:58:06.000,148.47,2.37,0.7,3.51
19:58:07.000,149.57,2.37,0.72,3.58
19:58:08.000,150.67,2.37,0.69,3.46
19:58:09.000,151.77,2.37,0.68,3.42
19:58:10.000,152.87,2.38,0.66,3.3
19:58:11.000,153.98,2.38,0.65,3.24
19:58:12.000,155.08,2.37,0.69,3.47
19:58:13.000,156.18,2.37,0.68,3.42
19:58:14.000,157.28,2.36,0.76,3.78
19:58:16.000,158.38,2.37,0.7,3.49
19:58:17.000,159.48,2.35,0.8,4.0
19:58:18.000,160.59,2.36,0.74,3.71
19:58:19.000,161.69,2.37,0.69,3.43
19:58:20.000,162.79,2.37,0.71,3.54
19:58:21.000,163.89,2.37,0.69,3.43
19:58:22.000,164.99,2.38,0.66,3.32
19:58:23.000,166.1,2.37,0.68,3.39
19:58:24.000,167.2,2.37,0.68,3.41
19:58:25.000,168.3,2.38,0.64,3.18
19:58:27.000,169.4,2.39,0.59,2.95
19:58:28.000,170.5,2.39,0.61,3.05
19:58:29.000,171.6,2.38,0.64,3.21
19:58:30.000,172.71,2.39,0.58,2.91
19:58:31.000,173.81,2.4,0.56,2.79
19:58:32.000,174.91,2.39,0.6,3.0
19:58:33.000,176.01,2.39,0.59,2.95
19:58:34.000,177.11,2.39,0.62,3.09
19:58:35.000,178.22,2.37,0.68,3.42
19:58:36.000,179.32,2.37,0.68,3.38
19:58:38.000,180.42,2.38,0.67,3.33
19:58:39.000,181.52,2.37,0.72,3.59
19:58:40.000,182.62,2.38,0.66,3.32
19:58:41.000,183.72,2.37,0.7,3.51
19:58:42.000,184.82,2.35,0.83,4.17
19:58:43.000,185.92,2.36,0.78,3.9
19:58:44.000,187.03,2.37,0.68,3.42
19:58:45.000,188.13,2.36,0.75,3.76
19:58:46.000,189.23,2.38,0.66,3.29
19:58:47.000,190.33,2.34,0.86,4.32
19:58:49.000,191.43,2.38,0.66,3.32
19:58:50.000,192.53,2.39,0.59,2.95
19:58:51.000,193.64,2.37,0.69,3.43
19:58:52.000,194.74,2.37,0.69,3.45
19:58:53.000,195.84,2.39,0.61,3.06
19:58:54.000,196.94,2.39,0.62,3.1
19:58:55.000,198.04,2.39,0.59,2.93
19:58:56.000,199.15,2.38,0.63,3.14
19:58:57.000,200.25,2.38,0.66,3.28
19:58:58.000,201.35,2.37,0.68,3.42
19:59:00.000,202.45,2.38,0.64,3.2
19:59:01.000,203.55,2.39,0.57,2.85
19:59:02.000,204.65,2.37,0.68,3.39
19:59:03.000,205.76,2.38,0.66,3.29
19:59:04.000,206.86,2.38,0.65,3.25
19:59:05.000,207.96,2.38,0.67,3.36
19:59:06.000,209.06,2.38,0.63,3.17
19:59:07.000,210.16,2.38,0.66,3.3
19:59:08.000,211.27,2.38,0.66,3.29
19:59:09.000,212.37,2.37,0.69,3.46
19:59:11.000,213.47,2.38,0.63,3.13
19:59:12.000,214.57,2.39,0.6,2.99
19:59:13.000,215.67,2.39,0.6,3.01
19:59:14.000,216.77,2.38,0.63,3.13
19:59:15.000,217.88,2.35,0.82,4.1
19:59:16.000,218.98,2.36,0.75,3.73
19:59:17.000,220.08,2.35,0.79,3.95
19:59:18.000,221.18,2.36,0.76,3.79
19:59:19.000,222.28,2.35,0.79,3.94
19:59:21.000,223.38,2.36,0.76,3.79
19:59:22.000,224.49,2.39,0.59,2.96
19:59:23.000,225.59,2.38,0.62,3.12
19:59:24.000,226.69,2.38,0.65,3.25
19:59:25.000,227.79,2.39,0.6,2.99
19:59:26.000,228.89,2.39,0.61,3.05
19:59:27.000,230.0,2.39,0.6,3.01
19:59:28.000,231.1,2.39,0.61,3.03
19:59:29.000,232.2,2.39,0.58,2.92
19:59:30.000,233.3,2.39,0.61,3.03
19:59:32.000,234.4,2.4,0.56,2.79
19:59:33.000,235.5,2.39,0.62,3.08
19:59:34.000,236.61,2.39,0.59,2.97
19:59:35.000,237.71,2.39,0.59,2.93
19:59:36.000,238.81,2.39,0.6,3.0
19:59:37.000,239.91,2.39,0.58,2.88
19:59:38.000,241.01,2.37,0.71,3.54
19:59:39.000,242.11,2.39,0.62,3.09
19:59:40.000,243.22,2.38,0.66,3.3
19:59:41.000,244.32,2.38,0.63,3.17
