Timestamp;CPU Core #1 Temp (°C);CPU Core #2 Temp (°C);CPU Core #3 Temp (°C);CPU Core #4 Temp (°C);CPU Package Temp (°C);CPU Package Power (W);CPU Cores Power (W);CPU Graphics Power (W);CPU Total Load (%);RAM Load (%);GPU Core Temp (°C);GPU Core Load (%);GPU Memory Load (%)
2025-06-09 20:22:15;42,0 °C;46,0 °C;43,0 °C;44,0 °C;49,0 °C;13,8 W;9,8 W;0,0 W;9,5 %;72,3 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:22:17;42,0 °C;43,0 °C;43,0 °C;43,0 °C;49,0 °C;14,4 W;10,4 W;0,0 W;11,3 %;72,3 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:22:19;41,0 °C;44,0 °C;43,0 °C;44,0 °C;50,0 °C;13,9 W;9,7 W;0,0 W;9,6 %;72,3 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:22:21;42,0 °C;43,0 °C;43,0 °C;43,0 °C;50,0 °C;15,9 W;11,9 W;0,0 W;9,8 %;72,0 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:22:23;42,0 °C;45,0 °C;43,0 °C;44,0 °C;49,0 °C;15,9 W;11,9 W;0,0 W;10,8 %;72,0 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:22:25;45,0 °C;44,0 °C;47,0 °C;44,0 °C;49,0 °C;14,1 W;10,3 W;0,0 W;9,1 %;72,1 %;49,0 °C;0,0 %;2,4 %
2025-06-09 20:22:27;53,0 °C;45,0 °C;51,0 °C;43,0 °C;51,0 °C;13,6 W;9,5 W;0,0 W;8,8 %;72,1 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:22:29;44,0 °C;45,0 °C;43,0 °C;54,0 °C;77,0 °C;21,0 W;16,8 W;0,0 W;14,0 %;72,3 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:22:31;44,0 °C;44,0 °C;43,0 °C;43,0 °C;49,0 °C;15,5 W;11,3 W;0,0 W;10,1 %;72,2 %;49,0 °C;0,0 %;2,4 %
2025-06-09 20:22:33;54,0 °C;44,0 °C;46,0 °C;43,0 °C;54,0 °C;13,5 W;9,5 W;0,0 W;12,1 %;73,0 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:22:35;48,0 °C;44,0 °C;51,0 °C;44,0 °C;51,0 °C;15,2 W;11,3 W;0,0 W;12,3 %;73,0 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:22:37;43,0 °C;45,0 °C;43,0 °C;43,0 °C;50,0 °C;14,4 W;10,3 W;0,0 W;10,8 %;72,9 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:22:39;43,0 °C;44,0 °C;43,0 °C;44,0 °C;50,0 °C;13,9 W;9,7 W;0,0 W;14,6 %;72,9 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:22:41;43,0 °C;44,0 °C;43,0 °C;44,0 °C;50,0 °C;14,3 W;10,4 W;0,0 W;10,0 %;72,9 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:22:43;42,0 °C;44,0 °C;43,0 °C;43,0 °C;49,0 °C;14,2 W;10,1 W;0,0 W;8,5 %;72,9 %;0,0 °C;0,0 %;2,4 %
2025-06-09 20:22:45;45,0 °C;44,0 °C;53,0 °C;43,0 °C;53,0 °C;14,9 W;10,9 W;0,0 W;10,1 %;72,9 %;0,0 °C;0,0 %;2,4 %
