Timestamp,Relative Time (s),CPU Usage (%),Memory Usage (Mo),Memory Usage (%),Disk Read (Mo/s),Disk Write (Mo/s),Network (Ko/s),CPU Temperature (°C),Encrypted Files,Encrypted Disk Usage (%),Encryption Speed (o/s)
19:56:46.050,62.05,0.5,630.16,21.3,0.0,0.01,0.0,59.9,0,0.0,0
19:56:47.150,63.15,0.0,630.16,21.3,0.0,0.0,0.0,59.4,0,0.0,0
19:56:48.240,64.24,0.0,630.16,21.3,0.0,0.0,0.0,59.4,0,0.0,0
19:56:49.340,65.34,0.0,630.16,21.3,0.0,0.04,0.0,59.9,0,0.0,0
19:56:50.500,66.5,0.0,630.16,21.3,0.0,0.0,0.0,59.9,0,0.0,0
19:56:51.600,67.6,0.5,630.16,21.3,0.0,0.0,0.0,59.9,0,0.0,0
19:56:52.690,68.69,0.0,630.15,21.3,0.0,0.02,0.0,60.3,0,0.0,0
19:56:53.790,69.79,0.0,630.15,21.3,0.0,0.0,0.0,60.3,0,0.0,0
19:56:54.880,70.88,25.1,637.03,21.5,0.0,0.01,0.0,61.8,0,0.0,0
19:56:55.980,71.98,24.6,637.03,21.5,0.0,0.0,0.0,61.8,0,0.0,0
19:56:57.070,73.07,25.0,636.79,21.5,0.0,0.0,0.0,62.8,0,0.0,0
19:56:58.170,74.17,25.0,636.54,21.5,0.0,0.0,0.0,61.8,0,0.0,0
19:56:59.270,75.27,25.4,636.54,21.5,0.0,0.0,0.0,62.8,0,0.0,0
19:57:00.370,76.37,25.4,636.29,21.5,0.0,0.02,0.0,62.8,0,0.0,0
19:57:01.460,77.46,25.0,636.29,21.5,0.0,0.0,0.0,63.3,0,0.0,0
19:57:02.560,78.56,25.0,636.53,21.5,0.0,0.0,0.0,63.7,0,0.0,0
19:57:03.660,79.66,25.0,637.02,21.5,0.0,0.0,0.0,64.2,0,0.0,0
19:57:04.750,80.75,25.0,636.77,21.5,0.0,0.01,0.0,63.7,0,0.0,0
19:57:05.850,81.85,25.0,636.71,21.5,0.0,0.0,0.0,62.8,0,0.0,0
19:57:06.950,82.95,25.0,636.71,21.5,0.0,0.0,0.0,64.2,0,0.0,0
19:57:08.040,84.04,25.0,636.95,21.5,0.0,0.0,0.0,64.7,0,0.0,0
19:57:09.140,85.14,25.0,636.95,21.5,0.0,0.0,0.0,64.7,0,0.0,0
19:57:10.230,86.23,26.6,636.7,21.5,0.0,0.03,0.0,64.7,76,4.94,25538497
19:57:11.330,87.33,25.4,636.95,21.5,0.0,0.0,0.0,64.2,78,5.34,2097152
19:57:12.430,88.43,25.5,637.19,21.5,0.0,0.0,0.0,63.3,80,5.75,2097152
19:57:13.530,89.53,25.4,636.7,21.5,0.0,0.0,0.0,64.7,82,6.16,2097152
19:57:14.630,90.63,25.0,637.43,21.5,0.0,0.14,0.0,64.2,84,6.56,2097152
19:57:15.730,91.73,25.0,637.53,21.5,0.0,0.0,0.0,64.2,86,6.97,2097152
19:57:16.840,92.84,25.1,637.18,21.5,0.0,0.0,0.0,65.2,87,7.17,1048576
19:57:17.940,93.94,25.1,637.18,21.5,0.0,0.0,0.0,63.7,89,7.57,2097152
19:57:19.040,95.04,25.0,637.18,21.5,0.0,0.0,0.0,65.2,91,7.98,2097152
19:57:20.140,96.14,25.1,636.93,21.5,0.0,0.03,0.0,64.7,93,8.39,2097152
19:57:21.240,97.24,25.1,636.93,21.5,0.0,0.0,0.0,65.2,95,8.79,2097152
19:57:22.340,98.34,25.5,636.93,21.5,0.0,0.0,0.0,64.2,97,9.2,2097152
19:57:23.440,99.44,25.0,636.93,21.5,0.0,0.0,0.0,64.7,99,9.6,2097152
19:57:24.540,100.54,25.5,637.16,21.5,0.0,0.03,0.0,63.7,101,10.01,2097152
19:57:25.640,101.64,25.5,636.92,21.5,0.0,15.04,0.0,64.7,103,10.41,2097152
19:57:26.740,102.74,25.9,637.16,21.5,0.0,9.19,0.0,64.7,105,10.82,2097152
19:57:27.840,103.84,25.0,637.02,21.5,0.0,0.0,0.0,66.2,106,11.22,2097152
19:57:28.950,104.95,25.5,636.92,21.5,0.0,0.0,0.0,65.2,108,11.43,1048576
19:57:30.050,106.05,25.4,636.91,21.5,0.0,0.05,0.0,65.2,110,11.83,2097152
19:57:31.150,107.15,25.1,636.66,21.5,0.0,0.0,0.0,65.2,112,12.24,2097152
19:57:32.250,108.25,25.1,636.66,21.5,0.0,0.18,0.0,65.7,114,12.64,2097152
19:57:33.350,109.35,25.0,636.9,21.5,0.0,0.0,0.0,65.2,116,13.05,2097152
19:57:34.450,110.45,25.5,636.66,21.5,0.0,0.0,0.0,65.7,118,13.45,2097152
19:57:35.550,111.55,25.5,636.66,21.5,0.0,0.0,0.0,66.2,120,13.86,2097152
19:57:36.650,112.65,25.5,636.66,21.5,0.0,0.0,0.0,66.2,122,14.27,2097152
19:57:37.750,113.75,25.9,636.89,21.5,0.0,0.04,0.0,66.7,124,14.67,2097152
19:57:38.850,114.85,25.0,636.89,21.5,0.0,0.0,0.0,66.7,126,15.08,2097152
