Relative Time (s),CPU Temperature (°C),Mode,Attack Type,Attack,Host,Measurement,Run
92.0,40.894,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
93.0,41.868,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
94.0,41.381,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
95.0,41.868,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
96.0,40.407,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
97.0,40.407,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
98.0,41.381,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
99.0,41.381,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
100.0,41.381,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
101.0,40.894,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
102.0,40.407,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
103.0,41.868,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
104.0,40.407,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
105.0,40.407,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
106.0,40.407,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
107.0,40.894,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
108.0,40.894,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
109.0,39.92,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
110.0,40.407,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
111.0,40.407,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
112.0,40.894,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
113.0,41.868,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
114.0,41.381,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
115.0,41.381,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
116.0,40.894,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
117.0,40.894,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
118.0,40.407,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
119.0,41.381,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
120.0,41.868,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
121.0,40.407,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
122.0,41.381,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
123.0,41.381,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
124.0,40.894,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
125.0,39.92,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
126.0,41.381,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
127.0,40.407,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
128.0,40.894,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
129.0,40.407,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
130.0,40.407,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
131.0,40.407,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
132.0,41.381,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
133.0,41.381,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
134.0,40.407,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
135.0,40.407,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
136.0,41.868,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
137.0,40.407,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
138.0,40.407,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
139.0,40.894,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
140.0,41.381,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
141.0,41.381,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
142.0,41.381,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
143.0,40.894,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
144.0,40.407,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
145.0,41.868,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
146.0,41.381,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
147.0,42.355,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
148.0,41.381,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
149.0,40.894,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
150.0,40.894,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
151.0,40.894,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
152.0,40.407,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
153.0,40.407,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
154.0,41.381,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
155.0,40.407,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
156.0,41.381,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
157.0,41.381,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
158.0,40.894,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
159.0,40.894,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
160.0,40.407,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
161.0,41.381,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
162.0,40.407,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
163.0,40.894,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
164.0,40.894,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
165.0,40.894,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
166.0,39.92,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
167.0,41.381,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
168.0,39.92,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
169.0,41.381,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
170.0,40.407,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
171.0,40.894,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
172.0,41.868,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
173.0,40.407,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
174.0,40.894,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
175.0,40.407,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
176.0,40.894,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
177.0,40.407,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
178.0,40.894,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
179.0,39.433,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
180.0,41.868,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
181.0,40.894,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
182.0,40.894,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
183.0,40.894,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
184.0,40.894,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
185.0,40.407,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
186.0,40.894,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
187.0,40.407,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
188.0,39.92,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
189.0,40.407,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
190.0,41.381,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
191.0,39.92,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
192.0,40.894,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
193.0,39.92,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
194.0,40.407,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
195.0,41.868,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
196.0,39.92,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
197.0,40.894,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
198.0,41.381,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
199.0,40.407,Idle,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
200.0,40.894,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
201.0,40.894,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
202.0,41.868,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
203.0,40.894,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
204.0,41.381,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
205.0,40.407,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
206.0,42.355,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
207.0,40.894,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
208.0,41.381,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
209.0,40.894,Attack,Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,System,1
