Timestamp;CPU Temperature (°C);CPU Usage (%);RAM Usage (%)
01:05:50.644;60.4;40.54;54.18
01:05:52.023;60.5;41.12;54.08
01:05:53.512;61.1;40.95;54.18
01:05:54.919;61.5;38.67;54.10
01:05:56.326;61.6;39.31;54.10
01:05:57.728;62.2;40.90;54.12
01:05:59.150;62.5;40.0;54.12
01:06:00.545;63.1;39.60;54.12
01:06:01.979;63.1;45.96;54.50
01:06:03.476;63.5;39.65;54.16
01:06:04.867;64.0;40.35;54.15
01:06:06.300;64.1;39.81;54.15
01:06:07.807;64.5;40.0;54.15
01:06:09.212;64.8;39.9;54.12
01:06:10.615;65.0;40.17;54.13
01:06:12.014;65.2;39.47;54.13
01:06:13.425;65.5;38.26;54.13
01:06:14.826;65.8;40.16;54.15
01:06:16.216;66.0;38.31;54.15
01:06:17.670;66.0;40.35;54.15
01:06:19.117;66.4;39.42;54.15
01:06:20.529;66.6;40.74;54.24
01:06:22.017;66.8;40.56;54.23
01:06:23.404;67.0;39.21;54.15
01:06:24.802;67.0;40.0;54.13
01:06:26.200;67.5;39.28;54.13
01:06:27.708;67.2;39.83;54.13
01:06:29.117;67.6;40.17;54.19
01:06:30.580;67.8;39.42;54.22
01:06:31.984;67.8;40.51;54.13
01:06:33.377;68.1;38.98;54.13
01:06:34.881;68.1;41.98;54.15
01:06:36.354;68.2;39.4;54.23
01:06:37.751;68.4;38.73;54.15
01:06:39.234;68.5;39.28;54.23
01:06:40.677;68.6;40.87;54.23
01:06:42.085;68.8;40.0;54.16
01:06:43.494;68.9;41.37;54.15
01:06:44.912;68.9;39.42;54.24
01:06:46.394;69.0;38.46;54.15
01:06:47.895;69.0;38.79;54.15
01:06:49.296;69.0;40.17;54.15
01:06:50.703;69.2;42.14;54.15
01:06:52.180;69.2;39.63;54.15
01:06:53.622;69.1;39.42;54.12
01:06:55.021;69.4;38.67;54.15
01:06:56.485;69.4;40.35;54.24
01:06:57.989;69.2;40.94;54.23
01:06:59.397;69.4;40.62;54.15
01:07:00.896;69.5;39.9;54.24
01:07:02.395;69.4;39.31;54.18
01:07:03.849;69.6;41.40;54.18
01:07:05.260;69.5;39.80;54.18
01:07:06.704;69.6;42.0;54.18
01:07:08.183;69.5;39.49;54.18
01:07:09.573;69.6;38.67;54.18
01:07:11.069;69.6;39.51;54.30
01:07:12.484;69.5;40.16;54.29
01:07:14.063;69.8;42.30;54.28
01:07:15.447;69.6;40.38;54.18
01:07:16.877;69.6;39.31;54.27
01:07:18.382;69.8;41.32;54.18
01:07:19.869;69.6;39.42;54.28
01:07:21.261;69.8;40.0;54.18
01:07:22.765;69.8;41.2;54.18
01:07:24.160;69.6;40.19;54.13
01:07:25.539;69.5;38.23;54.13
01:07:27.030;69.6;38.61;54.22
01:07:28.421;69.6;41.81;54.12
01:07:29.834;69.6;39.63;54.22
01:07:31.379;69.6;41.80;54.12
01:07:32.818;69.6;39.21;54.22
01:07:34.258;69.6;40.0;54.13
01:07:35.657;69.4;40.0;54.13
01:07:37.142;69.5;40.0;54.13
01:07:38.642;69.5;40.0;54.13
01:07:40.137;69.6;40.17;54.13
01:07:41.538;69.5;40.70;54.13
01:07:43.025;69.4;39.25;54.22
01:07:44.545;69.5;40.45;54.22
01:07:46.041;69.6;38.53;54.22
01:07:47.543;69.4;40.18;54.23
01:07:49.048;69.5;39.9;54.22
01:07:50.440;69.5;40.18;54.13
01:07:51.934;69.5;41.73;54.13
01:07:53.373;69.4;39.16;54.18
01:07:54.863;69.4;41.17;54.11
01:07:56.370;69.5;40.33;54.11
01:07:57.769;69.5;38.53;54.11
01:07:59.275;69.5;40.16;54.11
01:08:00.794;69.4;39.82;54.11
01:08:02.292;69.4;40.51;54.11
01:08:03.691;69.4;40.17;54.12
01:08:05.189;69.4;39.42;54.28
01:08:06.676;69.2;40.0;54.21
01:08:08.100;69.2;40.65;54.22
01:08:09.595;69.4;39.81;54.30
01:08:11.096;69.4;39.0;54.30
01:08:12.558;69.1;42.75;54.27
01:08:14.071;69.2;41.75;54.27
01:08:15.527;69.4;40.36;54.30
01:08:17.053;69.2;40.86;54.30
01:08:18.548;69.1;38.59;54.30
01:08:19.950;69.1;39.9;54.27
01:08:21.449;69.2;40.51;54.21
01:08:22.854;69.2;41.37;54.21
01:08:24.316;69.2;40.0;54.30
01:08:25.737;69.1;39.63;54.21
01:08:27.152;69.1;39.66;54.21
01:08:28.565;69.2;39.66;54.21
01:08:30.009;69.1;38.79;54.28
01:08:31.420;69.0;40.17;54.22
01:08:32.809;69.0;40.0;54.21
01:08:34.217;69.1;40.0;54.21
01:08:35.630;69.0;40.51;54.21
01:08:37.025;69.0;39.65;54.21
01:08:38.453;69.1;40.70;54.22
01:08:39.862;69.0;39.47;54.21
01:08:41.255;68.9;38.46;54.23
01:08:42.678;69.0;38.83;54.32
01:08:44.174;69.0;40.74;54.22
01:08:45.694;69.0;40.0;54.21
01:08:47.084;69.0;39.4;54.19
01:08:48.502;68.9;39.25;54.19
01:08:49.901;68.9;41.7;54.19
01:08:51.376;68.9;40.80;54.21
01:08:52.760;68.9;38.67;54.21
01:08:54.187;68.9;40.62;54.21
01:08:55.657;68.9;40.35;54.21
01:08:57.123;69.0;39.4;54.19
01:08:58.532;68.9;40.90;54.21
01:08:59.927;68.9;38.23;54.21
01:09:01.409;68.9;42.35;54.21
01:09:02.807;68.8;40.74;54.18
01:09:04.204;68.8;39.4;54.18
01:09:05.592;68.8;39.62;54.18
01:09:06.983;68.8;40.56;54.18
01:09:08.388;68.8;38.79;54.18
01:09:09.784;68.6;40.56;54.18
01:09:11.224;68.6;40.0;54.28
01:09:12.626;68.8;41.52;54.18
01:09:14.123;68.6;42.70;54.19
01:09:15.517;68.8;39.81;54.19
01:09:16.986;68.8;40.0;54.27
01:09:18.421;68.6;38.28;54.26
01:09:19.902;68.6;39.13;54.18
01:09:21.296;68.6;39.21;54.18
01:09:22.685;68.6;39.44;54.19
01:09:24.192;68.6;40.15;54.11
01:09:25.589;68.8;40.0;54.11
01:09:27.062;68.6;39.42;54.21
01:09:28.515;68.8;42.18;54.21
01:09:29.921;68.6;39.9;54.21
01:09:31.361;68.6;37.81;54.11
01:09:32.812;68.5;41.91;54.11
01:09:34.269;68.6;39.68;54.11
01:09:35.766;68.5;40.49;54.11
01:09:37.163;68.8;40.86;54.11
01:09:38.565;68.5;40.17;54.11
01:09:40.008;68.6;39.21;54.21
01:09:41.417;68.5;41.17;54.11
01:09:42.912;68.5;40.51;54.11
01:09:44.328;68.6;40.49;54.12
01:09:45.714;68.6;40.0;54.12
01:09:47.210;68.4;39.63;54.15
01:09:48.677;68.5;39.4;54.11
01:09:50.065;68.6;42.5;54.11
01:09:51.577;68.5;40.51;54.22
01:09:53.066;68.5;40.86;54.21
01:09:54.476;68.5;40.0;54.21
01:09:55.947;68.2;41.37;54.12
01:09:57.374;68.5;41.22;54.12
01:09:58.880;68.4;41.17;54.12
01:10:00.363;68.5;41.83;54.12
01:10:01.683;68.4;4.30;53.00
01:10:03.010;68.5;5.5;52.84
01:10:04.336;67.9;4.34;52.84
01:10:05.650;67.5;2.24;52.84
01:10:06.980;67.0;7.29;52.84
01:10:08.301;66.0;6.31;52.81
01:10:09.605;65.4;3.37;52.80
01:10:10.920;65.0;3.29;52.80
01:10:12.248;64.5;4.16;52.80
01:10:13.560;63.6;4.34;52.81
01:10:14.869;63.4;2.22;52.81
01:10:16.189;62.8;3.33;52.80
01:10:17.496;61.8;3.29;52.80
