Timestamp,CPU Temperature Core #1 (°C),CPU Temperature Core #2 (°C),CPU Temperature Core #3 (°C),CPU Temperature Core #4 (°C),CPU Temperature (°C),CPU Power (W),CPU Power Cores (W),CPU Graphics Power (W),GPU Temperature (°C)
09:27:06.000,39.0,39.0,39.0,39.0,39.0,3.1,0.7,0.0,0.0
09:27:09.000,41.0,41.0,41.0,41.0,41.0,3.2,0.8,0.0,0.0
09:27:12.000,39.0,39.0,39.0,39.0,39.0,3.5,1.0,0.0,0.0
09:27:15.000,37.0,37.0,37.0,37.0,38.0,3.2,0.8,0.0,0.0
09:27:18.000,44.0,44.0,44.0,44.0,44.0,3.3,0.9,0.0,0.0
09:27:21.000,37.0,37.0,37.0,37.0,38.0,3.1,0.7,0.0,0.0
09:27:24.000,43.0,43.0,43.0,43.0,45.0,3.7,1.2,0.0,0.0
09:27:27.000,40.0,40.0,40.0,40.0,40.0,3.2,0.8,0.0,0.0
09:27:30.000,38.0,38.0,38.0,38.0,38.0,3.3,0.8,0.0,0.0
09:27:33.000,37.0,37.0,37.0,37.0,37.0,3.5,1.0,0.0,0.0
09:27:36.000,38.0,38.0,38.0,45.0,45.0,3.2,0.8,0.0,0.0
09:27:39.000,38.0,38.0,38.0,38.0,39.0,3.2,0.8,0.0,0.0
09:27:42.000,38.0,38.0,38.0,38.0,38.0,3.5,1.1,0.0,0.0
09:27:45.000,38.0,38.0,38.0,38.0,38.0,3.2,0.8,0.0,0.0
09:27:48.000,38.0,38.0,38.0,38.0,38.0,3.5,1.1,0.0,0.0
09:27:51.000,44.0,44.0,44.0,44.0,44.0,3.2,0.8,0.0,0.0
09:27:54.000,45.0,45.0,45.0,45.0,45.0,3.6,1.2,0.0,0.0
09:27:57.000,39.0,39.0,39.0,39.0,39.0,3.1,0.8,0.0,0.0
09:28:00.000,38.0,38.0,38.0,38.0,38.0,3.1,0.8,0.0,0.0
09:28:03.000,43.0,42.0,42.0,42.0,42.0,3.4,1.0,0.0,0.0
09:28:06.000,41.0,41.0,41.0,41.0,41.0,3.1,0.7,0.0,0.0
09:28:09.000,37.0,37.0,37.0,37.0,38.0,3.2,0.8,0.0,0.0
09:28:12.000,38.0,38.0,38.0,38.0,38.0,3.2,0.8,0.0,0.0
09:28:15.000,40.0,40.0,40.0,40.0,40.0,3.1,0.7,0.0,0.0
09:28:18.000,39.0,39.0,39.0,39.0,40.0,3.3,0.9,0.0,0.0
09:28:21.000,42.0,42.0,42.0,42.0,42.0,3.2,0.8,0.0,0.0
09:28:24.000,39.0,39.0,39.0,39.0,39.0,3.3,0.8,0.0,0.0
09:28:27.000,38.0,38.0,38.0,38.0,45.0,3.3,0.9,0.0,0.0
09:28:31.000,44.0,44.0,44.0,44.0,44.0,3.2,0.8,0.0,0.0
09:28:34.000,44.0,44.0,44.0,44.0,44.0,3.2,0.8,0.0,0.0
09:28:37.000,37.0,37.0,37.0,37.0,38.0,3.1,0.7,0.0,0.0
09:28:40.000,40.0,40.0,40.0,40.0,40.0,3.4,1.0,0.0,0.0
09:28:43.000,42.0,42.0,42.0,42.0,42.0,3.4,0.9,0.0,0.0
09:28:46.000,44.0,43.0,44.0,44.0,44.0,4.5,1.9,0.0,0.0
09:28:49.000,44.0,44.0,44.0,44.0,44.0,3.8,1.4,0.0,0.0
09:28:52.000,44.0,44.0,44.0,44.0,44.0,3.3,0.8,0.0,0.0
09:28:55.000,39.0,39.0,39.0,39.0,39.0,3.1,0.7,0.0,0.0
09:28:58.000,43.0,43.0,42.0,42.0,42.0,3.3,0.8,0.0,0.0
09:29:01.000,44.0,43.0,43.0,44.0,44.0,3.8,1.3,0.0,0.0
09:29:04.000,40.0,40.0,40.0,40.0,40.0,3.2,0.8,0.0,0.0
09:29:07.000,43.0,43.0,42.0,44.0,44.0,3.2,0.8,0.0,0.0
09:29:10.000,38.0,38.0,38.0,38.0,39.0,3.1,0.7,0.0,0.0
09:29:13.000,42.0,42.0,42.0,42.0,42.0,3.3,0.9,0.0,0.0
09:29:16.000,44.0,44.0,44.0,44.0,44.0,3.2,0.8,0.0,0.0
09:29:19.000,42.0,42.0,42.0,42.0,42.0,3.2,0.8,0.0,0.0
09:29:22.000,37.0,37.0,37.0,37.0,38.0,3.1,0.7,0.0,0.0
09:29:25.000,37.0,37.0,37.0,37.0,38.0,3.2,0.8,0.0,0.0
09:29:28.000,37.0,37.0,37.0,37.0,37.0,3.3,0.9,0.0,0.0
09:29:31.000,43.0,42.0,42.0,43.0,44.0,3.4,1.0,0.0,0.0
09:29:34.000,42.0,42.0,42.0,42.0,42.0,3.2,0.8,0.0,0.0
09:29:37.000,44.0,44.0,44.0,44.0,44.0,3.1,0.7,0.0,0.0
09:29:40.000,43.0,43.0,43.0,43.0,43.0,3.1,0.7,0.0,0.0
09:29:43.000,42.0,42.0,42.0,42.0,42.0,3.4,1.0,0.0,0.0
09:29:46.000,43.0,43.0,43.0,43.0,43.0,3.4,1.0,0.0,0.0
09:29:49.000,44.0,44.0,44.0,44.0,44.0,3.4,1.0,0.0,0.0
09:29:52.000,39.0,39.0,39.0,39.0,39.0,3.5,1.1,0.0,0.0
09:29:55.000,37.0,37.0,37.0,37.0,38.0,3.2,0.8,0.0,0.0
09:29:58.000,47.0,47.0,47.0,47.0,47.0,3.5,1.1,0.0,0.0
09:30:01.000,38.0,38.0,38.0,38.0,39.0,3.3,0.9,0.0,0.0
09:30:04.000,43.0,43.0,43.0,43.0,43.0,3.4,1.0,0.0,0.0
09:30:07.000,38.0,38.0,38.0,38.0,39.0,3.2,0.8,0.0,0.0
09:30:10.000,40.0,40.0,40.0,40.0,40.0,3.1,0.7,0.0,0.0
09:30:13.000,40.0,40.0,40.0,40.0,40.0,3.4,1.0,0.0,0.0
09:30:16.000,40.0,40.0,40.0,40.0,40.0,3.1,0.7,0.0,0.0
09:30:19.000,44.0,44.0,44.0,44.0,44.0,3.3,0.9,0.0,0.0
09:30:22.000,39.0,39.0,39.0,39.0,39.0,3.2,0.8,0.0,0.0
09:30:25.000,40.0,40.0,40.0,40.0,40.0,3.4,1.0,0.0,0.0
09:30:28.000,38.0,38.0,38.0,45.0,45.0,3.3,0.8,0.0,0.0
09:30:31.000,39.0,39.0,39.0,39.0,39.0,3.1,0.7,0.0,0.0
09:30:34.000,44.0,43.0,42.0,44.0,44.0,3.2,0.8,0.0,0.0
09:30:37.000,38.0,38.0,38.0,38.0,39.0,3.1,0.7,0.0,0.0
09:30:40.000,39.0,39.0,39.0,39.0,39.0,3.1,0.7,0.0,0.0
09:30:43.000,42.0,42.0,42.0,42.0,42.0,3.3,0.9,0.0,0.0
09:30:46.000,44.0,43.0,43.0,44.0,44.0,3.7,1.2,0.0,0.0
09:30:49.000,44.0,43.0,42.0,44.0,45.0,3.2,0.8,0.0,0.0
09:30:52.000,43.0,43.0,43.0,43.0,43.0,3.3,0.9,0.0,0.0
09:30:55.000,38.0,38.0,38.0,38.0,39.0,3.3,0.9,0.0,0.0
09:30:58.000,38.0,38.0,38.0,38.0,39.0,3.3,0.9,0.0,0.0
09:31:01.000,44.0,44.0,44.0,44.0,44.0,3.3,0.9,0.0,0.0
09:31:04.000,43.0,43.0,43.0,43.0,43.0,3.2,0.8,0.0,0.0
09:31:07.000,44.0,44.0,44.0,44.0,44.0,3.1,0.7,0.0,0.0
09:31:10.000,39.0,39.0,39.0,39.0,40.0,3.1,0.7,0.0,0.0
09:31:13.000,38.0,38.0,38.0,38.0,39.0,3.3,0.9,0.0,0.0
