Timestamp;CPU Core #1 Temp (°C);CPU Core #2 Temp (°C);CPU Core #3 Temp (°C);CPU Core #4 Temp (°C);CPU Package Temp (°C);CPU Package Power (W);CPU Cores Power (W);CPU Graphics Power (W);CPU Total Load (%);RAM Load (%);GPU Core Temp (°C);GPU Core Load (%);GPU Memory Load (%)
2025-06-04 16:12:44;57,0 °C;81,0 °C;52,0 °C;62,0 °C;81,0 °C;19,7 W;14,8 W;0,0 W;10,4 %;64,8 %;57,0 °C;0,0 %;66,9 %
2025-06-04 16:12:46;60,0 °C;83,0 °C;52,0 °C;61,0 °C;83,0 °C;21,2 W;16,4 W;0,0 W;10,4 %;64,8 %;56,0 °C;0,0 %;66,9 %
2025-06-04 16:12:48;81,0 °C;53,0 °C;60,0 °C;52,0 °C;79,0 °C;21,6 W;17,5 W;0,0 W;9,4 %;64,8 %;56,0 °C;0,0 %;66,9 %
2025-06-04 16:12:50;65,0 °C;76,0 °C;54,0 °C;58,0 °C;78,0 °C;19,7 W;15,6 W;0,0 W;10,4 %;64,7 %;55,0 °C;0,0 %;66,9 %
2025-06-04 16:12:52;55,0 °C;78,0 °C;52,0 °C;59,0 °C;78,0 °C;21,0 W;16,6 W;0,0 W;11,8 %;64,8 %;55,0 °C;0,0 %;66,9 %
2025-06-04 16:12:54;74,0 °C;63,0 °C;56,0 °C;54,0 °C;75,0 °C;18,3 W;14,1 W;0,0 W;10,4 %;64,8 %;55,0 °C;0,0 %;66,9 %
2025-06-04 16:12:56;55,0 °C;84,0 °C;53,0 °C;59,0 °C;84,0 °C;20,9 W;16,5 W;0,0 W;10,5 %;64,7 %;55,0 °C;0,0 %;66,9 %
2025-06-04 16:12:58;69,0 °C;68,0 °C;56,0 °C;56,0 °C;70,0 °C;21,2 W;17,0 W;0,0 W;10,9 %;64,7 %;55,0 °C;0,0 %;66,9 %
2025-06-04 16:13:00;79,0 °C;54,0 °C;57,0 °C;53,0 °C;76,0 °C;18,6 W;14,5 W;0,0 W;10,3 %;64,8 %;55,0 °C;0,0 %;66,9 %
2025-06-04 16:13:02;75,0 °C;54,0 °C;57,0 °C;55,0 °C;76,0 °C;19,9 W;15,6 W;0,0 W;10,3 %;64,7 %;55,0 °C;0,0 %;66,9 %
2025-06-04 16:13:04;76,0 °C;61,0 °C;59,0 °C;54,0 °C;72,0 °C;20,2 W;16,0 W;0,0 W;11,1 %;64,7 %;55,0 °C;0,0 %;66,9 %
2025-06-04 16:13:06;69,0 °C;62,0 °C;56,0 °C;54,0 °C;62,0 °C;20,3 W;16,0 W;0,0 W;11,3 %;64,8 %;55,0 °C;0,0 %;66,9 %
2025-06-04 16:13:08;73,0 °C;63,0 °C;59,0 °C;52,0 °C;72,0 °C;23,0 W;18,7 W;0,0 W;12,8 %;64,8 %;55,0 °C;0,0 %;66,9 %
2025-06-04 16:13:10;65,0 °C;83,0 °C;54,0 °C;59,0 °C;83,0 °C;29,9 W;25,3 W;0,0 W;19,7 %;65,0 %;55,0 °C;0,0 %;66,9 %
2025-06-04 16:13:12;76,0 °C;91,0 °C;56,0 °C;63,0 °C;91,0 °C;31,0 W;26,4 W;0,0 W;19,0 %;65,0 %;54,0 °C;0,0 %;66,9 %
2025-06-04 16:13:14;60,0 °C;66,0 °C;52,0 °C;55,0 °C;69,0 °C;19,0 W;14,7 W;0,0 W;11,3 %;65,1 %;55,0 °C;0,0 %;66,9 %
2025-06-04 16:13:16;69,0 °C;86,0 °C;60,0 °C;63,0 °C;85,0 °C;27,1 W;22,7 W;0,0 W;19,4 %;65,2 %;55,0 °C;0,0 %;66,9 %
2025-06-04 16:13:18;73,0 °C;78,0 °C;65,0 °C;61,0 °C;76,0 °C;32,3 W;27,2 W;0,0 W;25,4 %;65,9 %;55,0 °C;0,0 %;66,9 %
2025-06-04 16:13:20;54,0 °C;80,0 °C;53,0 °C;58,0 °C;80,0 °C;22,7 W;17,9 W;0,0 W;16,0 %;65,1 %;55,0 °C;0,0 %;66,9 %
2025-06-04 16:13:22;62,0 °C;56,0 °C;57,0 °C;58,0 °C;69,0 °C;27,8 W;22,8 W;0,0 W;17,0 %;65,4 %;55,0 °C;0,0 %;66,9 %
2025-06-04 16:13:24;56,0 °C;85,0 °C;62,0 °C;59,0 °C;84,0 °C;37,6 W;32,3 W;0,0 W;24,8 %;65,5 %;55,0 °C;0,0 %;66,9 %
2025-06-04 16:13:26;72,0 °C;86,0 °C;56,0 °C;61,0 °C;86,0 °C;26,2 W;21,3 W;0,0 W;19,0 %;65,6 %;55,0 °C;0,0 %;66,9 %
2025-06-04 16:13:28;65,0 °C;88,0 °C;54,0 °C;61,0 °C;88,0 °C;28,4 W;23,4 W;0,0 W;19,5 %;65,5 %;55,0 °C;0,0 %;66,9 %
2025-06-04 16:13:30;65,0 °C;85,0 °C;60,0 °C;62,0 °C;84,0 °C;33,4 W;28,2 W;0,0 W;27,8 %;65,8 %;55,0 °C;0,0 %;66,9 %
2025-06-04 16:13:32;58,0 °C;85,0 °C;74,0 °C;63,0 °C;87,0 °C;30,4 W;25,3 W;0,0 W;19,9 %;65,7 %;55,0 °C;0,0 %;66,9 %
2025-06-04 16:13:34;62,0 °C;63,0 °C;58,0 °C;58,0 °C;63,0 °C;28,2 W;23,0 W;0,0 W;17,4 %;65,5 %;55,0 °C;0,0 %;66,9 %
2025-06-04 16:13:36;66,0 °C;73,0 °C;68,0 °C;73,0 °C;73,0 °C;26,3 W;20,9 W;0,0 W;17,8 %;65,7 %;55,0 °C;0,0 %;66,9 %
2025-06-04 16:13:38;76,0 °C;73,0 °C;78,0 °C;61,0 °C;78,0 °C;33,2 W;27,7 W;0,0 W;22,3 %;66,7 %;55,0 °C;0,0 %;66,9 %
2025-06-04 16:13:40;65,0 °C;78,0 °C;61,0 °C;66,0 °C;78,0 °C;35,7 W;30,3 W;0,0 W;24,5 %;66,6 %;0,0 °C;0,0 %;66,9 %
2025-06-04 16:13:42;67,0 °C;85,0 °C;70,0 °C;85,0 °C;85,0 °C;42,1 W;36,5 W;0,0 W;33,4 %;64,9 %;0,0 °C;0,0 %;2,4 %
2025-06-04 16:13:44;74,0 °C;79,0 °C;73,0 °C;81,0 °C;81,0 °C;44,3 W;38,2 W;0,0 W;39,1 %;65,7 %;0,0 °C;0,0 %;2,4 %
2025-06-04 16:13:46;76,0 °C;78,0 °C;73,0 °C;86,0 °C;87,0 °C;42,2 W;36,9 W;0,0 W;30,8 %;69,4 %;0,0 °C;0,0 %;2,4 %
2025-06-04 16:13:48;60,0 °C;92,0 °C;74,0 °C;76,0 °C;85,0 °C;52,3 W;45,9 W;0,1 W;40,7 %;70,2 %;59,0 °C;0,0 %;2,4 %
2025-06-04 16:13:50;80,0 °C;71,0 °C;79,0 °C;76,0 °C;79,0 °C;40,3 W;33,9 W;0,1 W;31,3 %;76,3 %;58,0 °C;0,0 %;66,9 %
2025-06-04 16:13:52;60,0 °C;81,0 °C;61,0 °C;65,0 °C;81,0 °C;32,8 W;27,0 W;0,0 W;26,7 %;75,2 %;59,0 °C;0,0 %;66,9 %
2025-06-04 16:13:54;54,0 °C;83,0 °C;55,0 °C;63,0 °C;83,0 °C;26,7 W;21,3 W;0,1 W;15,5 %;75,2 %;58,0 °C;0,0 %;66,9 %
2025-06-04 16:13:56;60,0 °C;60,0 °C;64,0 °C;66,0 °C;66,0 °C;21,3 W;15,6 W;0,2 W;12,9 %;75,3 %;58,0 °C;0,0 %;66,9 %
2025-06-04 16:13:58;68,0 °C;73,0 °C;71,0 °C;61,0 °C;73,0 °C;27,6 W;21,7 W;0,1 W;12,8 %;75,1 %;57,0 °C;0,0 %;66,9 %
2025-06-04 16:14:00;66,0 °C;87,0 °C;71,0 °C;65,0 °C;85,0 °C;30,5 W;25,1 W;0,0 W;14,5 %;75,1 %;57,0 °C;0,0 %;66,9 %
2025-06-04 16:14:02;73,0 °C;80,0 °C;60,0 °C;65,0 °C;79,0 °C;29,6 W;24,5 W;0,0 W;14,8 %;75,0 %;57,0 °C;0,0 %;66,9 %
