Timestamp;CPU Core #1 Temp (°C);CPU Core #2 Temp (°C);CPU Core #3 Temp (°C);CPU Core #4 Temp (°C);CPU Package Temp (°C);CPU Package Power (W);CPU Cores Power (W);CPU Graphics Power (W);CPU Total Load (%);RAM Load (%);GPU Core Temp (°C);GPU Core Load (%);GPU Memory Load (%)
2025-06-05 09:44:01;88,0 °C;66,0 °C;70,0 °C;65,0 °C;88,0 °C;21,3 W;16,4 W;0,0 W;10,2 %;66,1 %;73,0 °C;95,0 %;96,7 %
2025-06-05 09:44:03;86,0 °C;67,0 °C;71,0 °C;66,0 °C;88,0 °C;21,1 W;16,0 W;0,0 W;9,6 %;66,1 %;74,0 °C;96,0 %;96,7 %
2025-06-05 09:44:05;88,0 °C;66,0 °C;71,0 °C;65,0 °C;88,0 °C;21,3 W;16,5 W;0,0 W;10,0 %;66,1 %;74,0 °C;100,0 %;96,7 %
2025-06-05 09:44:07;88,0 °C;67,0 °C;70,0 °C;66,0 °C;88,0 °C;21,3 W;16,4 W;0,0 W;9,9 %;66,1 %;74,0 °C;96,0 %;96,7 %
2025-06-05 09:44:09;88,0 °C;66,0 °C;70,0 °C;65,0 °C;88,0 °C;20,1 W;15,2 W;0,0 W;10,0 %;66,1 %;74,0 °C;95,0 %;96,7 %
2025-06-05 09:44:11;87,0 °C;67,0 °C;70,0 °C;67,0 °C;86,0 °C;22,2 W;17,4 W;0,0 W;10,5 %;66,1 %;74,0 °C;94,0 %;96,7 %
2025-06-05 09:44:13;88,0 °C;66,0 °C;70,0 °C;65,0 °C;88,0 °C;20,4 W;15,5 W;0,0 W;10,5 %;66,1 %;74,0 °C;95,0 %;96,7 %
2025-06-05 09:44:15;67,0 °C;91,0 °C;65,0 °C;69,0 °C;91,0 °C;22,9 W;17,8 W;0,0 W;10,2 %;66,1 %;73,0 °C;95,0 %;96,7 %
2025-06-05 09:44:17;65,0 °C;89,0 °C;66,0 °C;69,0 °C;89,0 °C;18,3 W;13,5 W;0,0 W;9,1 %;66,1 %;73,0 °C;96,0 %;96,7 %
2025-06-05 09:44:19;87,0 °C;66,0 °C;71,0 °C;65,0 °C;88,0 °C;20,4 W;15,5 W;0,0 W;9,8 %;66,1 %;73,0 °C;94,0 %;96,7 %
