Timestamp,Voltage (V),Voltage Adjusted (V),Current (A),Power (W),Relative Time (s),Mode,Attack Type,Attack,Host,Measurement,Run
02:46:05.823,2.43,0.01,0.12,0.62,65.035,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:06.838,2.43,0.01,0.12,0.62,66.05,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:07.824,2.43,0.02,0.17,0.86,67.036,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:08.845,2.43,0.02,0.17,0.86,68.057,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:09.833,2.43,0.01,0.12,0.62,69.045,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:10.850,2.43,0.01,0.12,0.62,70.062,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:11.838,2.42,0.01,0.07,0.37,71.05,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:12.829,2.43,0.01,0.12,0.62,72.041,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:13.848,2.43,0.01,0.12,0.62,73.06,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:14.845,2.42,0.01,0.07,0.37,74.057,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:15.829,2.44,0.02,0.22,1.11,75.041,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:16.848,2.43,0.02,0.17,0.86,76.06,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:17.837,2.43,0.01,0.12,0.62,77.049,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:18.853,2.44,0.03,0.27,1.35,78.065,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:19.839,2.43,0.01,0.12,0.62,79.051,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:20.859,2.43,0.02,0.17,0.86,80.071,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:21.848,2.44,0.02,0.22,1.11,81.06,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:22.834,2.43,0.02,0.17,0.86,82.046,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:23.853,2.43,0.01,0.12,0.62,83.065,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:24.841,2.44,0.03,0.27,1.35,84.053,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:25.859,2.43,0.02,0.17,0.86,85.071,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:26.847,2.43,0.01,0.12,0.62,86.059,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:27.834,2.44,0.02,0.22,1.11,87.046,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:28.857,2.42,0.01,0.07,0.37,88.069,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:29.842,2.43,0.01,0.12,0.62,89.054,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:30.862,2.43,0.01,0.12,0.62,90.074,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:31.850,2.43,0.02,0.17,0.86,91.062,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:32.841,2.43,0.02,0.17,0.86,92.053,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:33.860,2.43,0.01,0.12,0.62,93.072,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
02:46:34.846,2.45,0.04,0.37,1.84,94.058,Idle,Cryptojacking,CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,ACS712,1
