Horodatage;Timestamp (s);Tension (V);Courant (A);Puissance (W)
2025-04-20 21:14:34;69.14;2.39;0.59;2.95
2025-04-20 21:14:36;70.24;2.39;0.59;2.95
2025-04-20 21:14:37;71.34;2.39;0.62;3.09
2025-04-20 21:14:38;72.44;2.39;0.58;2.92
2025-04-20 21:14:39;73.55;2.40;0.57;2.83
2025-04-20 21:14:40;74.65;2.40;0.52;2.58
2025-04-20 21:14:41;75.74;2.41;0.50;2.52
2025-04-20 21:14:42;76.85;2.40;0.54;2.69
2025-04-20 21:14:43;77.95;2.39;0.60;3.00
2025-04-20 21:14:44;79.05;2.40;0.55;2.76
2025-04-20 21:14:46;80.15;2.40;0.54;2.72
2025-04-20 21:14:47;81.25;2.40;0.55;2.73
2025-04-20 21:14:48;82.35;2.38;0.63;3.14
2025-04-20 21:14:49;83.46;2.39;0.61;3.04
2025-04-20 21:14:50;84.56;2.41;0.50;2.50
2025-04-20 21:14:51;85.66;2.40;0.53;2.67
2025-04-20 21:14:52;86.76;2.40;0.55;2.73
2025-04-20 21:14:53;87.86;2.40;0.54;2.69
2025-04-20 21:14:54;88.97;2.41;0.50;2.52
2025-04-20 21:14:55;90.07;2.40;0.52;2.60
2025-04-20 21:14:57;91.17;2.41;0.49;2.43
2025-04-20 21:14:58;92.27;2.39;0.61;3.04
2025-04-20 21:14:59;93.37;2.38;0.63;3.14
2025-04-20 21:15:00;94.48;2.40;0.53;2.63
2025-04-20 21:15:01;95.58;2.39;0.57;2.85
2025-04-20 21:15:02;96.68;2.40;0.52;2.58
2025-04-20 21:15:03;97.78;2.41;0.50;2.48
2025-04-20 21:15:04;98.88;2.40;0.54;2.69
2025-04-20 21:15:05;99.98;2.41;0.46;2.30
2025-04-20 21:15:06;101.09;2.40;0.52;2.60
2025-04-20 21:15:08;102.19;2.40;0.55;2.73
2025-04-20 21:15:09;103.29;2.41;0.47;2.36
2025-04-20 21:15:10;104.39;2.38;0.66;3.29
2025-04-20 21:15:11;105.49;2.39;0.59;2.95
2025-04-20 21:15:12;106.59;2.39;0.58;2.88
2025-04-20 21:15:13;107.7;2.38;0.64;3.21
2025-04-20 21:15:14;108.8;2.39;0.57;2.87
2025-04-20 21:15:15;109.9;2.39;0.57;2.85
2025-04-20 21:15:16;111.0;2.39;0.57;2.87
2025-04-20 21:15:17;112.1;2.39;0.58;2.91
2025-04-20 21:15:19;113.2;2.38;0.63;3.17
2025-04-20 21:15:20;114.31;2.40;0.54;2.68
2025-04-20 21:15:21;115.41;2.41;0.48;2.39
2025-04-20 21:15:22;116.51;2.40;0.54;2.71
2025-04-20 21:15:23;117.61;2.41;0.50;2.52
2025-04-20 21:15:24;118.71;2.40;0.54;2.68
2025-04-20 21:15:25;119.82;2.41;0.47;2.35
2025-04-20 21:15:26;120.92;2.40;0.52;2.62
2025-04-20 21:15:27;122.02;2.40;0.53;2.64
2025-04-20 21:15:28;123.12;2.41;0.50;2.52
2025-04-20 21:15:30;124.22;2.41;0.49;2.43
2025-04-20 21:15:31;125.32;2.40;0.54;2.68
2025-04-20 21:15:32;126.42;2.40;0.52;2.60
2025-04-20 21:15:33;127.52;2.40;0.54;2.69
2025-04-20 21:15:34;128.63;2.41;0.49;2.43
2025-04-20 21:15:35;129.73;2.40;0.55;2.75
2025-04-20 21:15:36;130.83;2.41;0.50;2.50
2025-04-20 21:15:37;131.93;2.40;0.54;2.71
2025-04-20 21:15:38;133.03;2.39;0.58;2.89
