Timestamp;CPU Core #1 Temp (°C);CPU Core #2 Temp (°C);CPU Core #3 Temp (°C);CPU Core #4 Temp (°C);CPU Package Temp (°C);CPU Package Power (W);CPU Cores Power (W);CPU Graphics Power (W);CPU Total Load (%);RAM Load (%);GPU Core Temp (°C);GPU Core Load (%);GPU Memory Load (%)
2025-05-25 12:09:05;42,0 °C;42,0 °C;41,0 °C;43,0 °C;48,0 °C;9,2 W;4,8 W;0,1 W;5,1 %;58,1 %;45,0 °C;0,0 %;2,4 %
2025-05-25 12:09:07;46,0 °C;46,0 °C;42,0 °C;43,0 °C;47,0 °C;9,4 W;5,1 W;0,1 W;4,7 %;58,3 %;46,0 °C;0,0 %;2,4 %
2025-05-25 12:09:09;47,0 °C;47,0 °C;43,0 °C;43,0 °C;47,0 °C;12,5 W;7,8 W;0,1 W;7,6 %;57,8 %;45,0 °C;0,0 %;2,4 %
2025-05-25 12:09:11;40,0 °C;41,0 °C;40,0 °C;40,0 °C;49,0 °C;6,3 W;2,7 W;0,1 W;3,1 %;57,3 %;45,0 °C;0,0 %;2,4 %
2025-05-25 12:09:13;43,0 °C;47,0 °C;45,0 °C;44,0 °C;47,0 °C;11,2 W;6,8 W;0,1 W;7,0 %;57,4 %;45,0 °C;0,0 %;2,4 %
2025-05-25 12:09:15;43,0 °C;42,0 °C;44,0 °C;44,0 °C;48,0 °C;11,6 W;7,0 W;0,1 W;10,5 %;57,9 %;46,0 °C;0,0 %;2,4 %
2025-05-25 12:09:17;42,0 °C;43,0 °C;41,0 °C;43,0 °C;48,0 °C;11,2 W;6,9 W;0,1 W;9,7 %;58,0 %;46,0 °C;0,0 %;2,4 %
2025-05-25 12:09:19;41,0 °C;42,0 °C;40,0 °C;41,0 °C;49,0 °C;5,9 W;2,1 W;0,1 W;4,6 %;57,9 %;0,0 °C;0,0 %;2,4 %
2025-05-25 12:09:21;43,0 °C;47,0 °C;42,0 °C;43,0 °C;48,0 °C;9,7 W;5,8 W;0,0 W;12,0 %;58,0 %;46,0 °C;0,0 %;2,4 %
2025-05-25 12:09:23;46,0 °C;48,0 °C;43,0 °C;44,0 °C;49,0 °C;7,6 W;4,1 W;0,0 W;7,4 %;58,0 %;0,0 °C;0,0 %;2,4 %
2025-05-25 12:09:25;42,0 °C;43,0 °C;42,0 °C;41,0 °C;49,0 °C;9,1 W;4,8 W;0,1 W;9,0 %;58,1 %;0,0 °C;0,0 %;2,4 %
2025-05-25 12:09:27;42,0 °C;41,0 °C;40,0 °C;40,0 °C;49,0 °C;7,0 W;3,1 W;0,1 W;6,6 %;58,1 %;0,0 °C;0,0 %;2,4 %
2025-05-25 12:09:29;42,0 °C;45,0 °C;41,0 °C;42,0 °C;49,0 °C;10,7 W;6,7 W;0,1 W;14,7 %;58,1 %;47,0 °C;0,0 %;2,4 %
2025-05-25 12:09:31;43,0 °C;45,0 °C;43,0 °C;44,0 °C;47,0 °C;11,4 W;7,3 W;0,1 W;10,0 %;58,2 %;0,0 °C;0,0 %;2,4 %
2025-05-25 12:09:33;41,0 °C;42,0 °C;42,0 °C;43,0 °C;49,0 °C;9,5 W;5,2 W;0,1 W;6,7 %;58,2 %;0,0 °C;0,0 %;2,4 %
2025-05-25 12:09:35;42,0 °C;44,0 °C;42,0 °C;41,0 °C;49,0 °C;6,6 W;2,6 W;0,1 W;5,0 %;58,2 %;46,0 °C;0,0 %;2,4 %
2025-05-25 12:09:37;43,0 °C;43,0 °C;42,0 °C;42,0 °C;49,0 °C;6,5 W;2,6 W;0,0 W;4,2 %;58,3 %;46,0 °C;0,0 %;2,4 %
2025-05-25 12:09:39;41,0 °C;42,0 °C;43,0 °C;42,0 °C;47,0 °C;9,9 W;5,2 W;0,1 W;6,2 %;58,3 %;46,0 °C;0,0 %;2,4 %
2025-05-25 12:09:41;46,0 °C;48,0 °C;45,0 °C;44,0 °C;49,0 °C;10,8 W;6,6 W;0,1 W;12,4 %;58,3 %;47,0 °C;0,0 %;2,4 %
2025-05-25 12:09:43;42,0 °C;42,0 °C;41,0 °C;41,0 °C;49,0 °C;8,5 W;4,7 W;0,0 W;8,5 %;58,3 %;47,0 °C;0,0 %;2,4 %
2025-05-25 12:09:45;46,0 °C;47,0 °C;44,0 °C;47,0 °C;49,0 °C;8,9 W;5,0 W;0,1 W;9,4 %;58,4 %;47,0 °C;0,0 %;2,4 %
2025-05-25 12:09:47;40,0 °C;42,0 °C;41,0 °C;41,0 °C;49,0 °C;6,4 W;2,2 W;0,1 W;5,6 %;58,3 %;46,0 °C;0,0 %;2,4 %
