Timestamp,CPU Temperature (°C),CPU Usage (%),Memory Usage (%),Relative Time (s),Mode,Attack Type,Attack,Host,Measurement,Run
03:33:23.988,44.8,25.0,2.63025,83.701,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:33:25.221,43.8,22.2,2.6258,84.934,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:33:26.454,43.8,22.2,2.6371,86.167,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:33:27.687,43.8,36.4,2.64155,87.4,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:33:28.915,44.8,22.2,2.6384,88.628,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:33:30.148,44.3,22.2,2.6383,89.861,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:33:31.366,43.3,0.0,2.63515,91.079,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:33:32.595,44.8,25.0,2.63385,92.308,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:33:33.825,44.8,22.2,2.6369,93.538,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:33:35.054,44.3,25.0,2.64786,94.767,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:33:36.294,43.8,22.2,2.64135,96.007,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:33:37.527,44.8,22.2,2.6282,97.24,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:33:38.759,43.3,22.2,2.64135,98.472,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
03:33:39.993,43.3,22.2,2.64321,99.706,Idle,Denial of Service,PyFlooder (HTTP),Raspberry Pi 4B 8GB,System,1
