Relative Time (s),CPU Temperature (°C),Mode,Attack Type,Attack,Host,Measurement,Run
99.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
100.0,42.355,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
101.0,43.329,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
102.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
103.0,43.329,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
104.0,43.816,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
105.0,41.868,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
106.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
107.0,41.868,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
108.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
109.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
110.0,42.355,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
111.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
112.0,42.355,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
113.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
114.0,43.816,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
115.0,43.329,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
116.0,43.329,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
117.0,43.329,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
118.0,43.329,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
119.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
120.0,41.868,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
121.0,42.355,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
122.0,43.816,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
123.0,43.816,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
124.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
125.0,41.868,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
126.0,42.355,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
127.0,42.355,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
128.0,43.329,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
129.0,43.329,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
130.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
131.0,43.329,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
132.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
133.0,43.329,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
134.0,43.816,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
135.0,43.329,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
136.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
137.0,43.329,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
138.0,43.329,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
139.0,42.355,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
140.0,41.868,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
141.0,43.329,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
142.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
143.0,43.816,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
144.0,43.329,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
145.0,43.329,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
146.0,43.329,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
147.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
148.0,42.355,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
149.0,42.355,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
150.0,43.329,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
151.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
152.0,42.355,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
153.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
154.0,43.329,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
155.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
156.0,42.355,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
157.0,42.355,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
158.0,42.355,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
159.0,42.355,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
160.0,43.329,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
161.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
162.0,42.355,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
163.0,42.355,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
164.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
165.0,41.381,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
166.0,42.355,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
167.0,41.868,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
168.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
169.0,43.329,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
170.0,42.355,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
171.0,42.355,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
172.0,42.355,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
173.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
174.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
175.0,43.329,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
176.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
177.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
178.0,43.816,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
179.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
180.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
181.0,43.329,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
182.0,42.842,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
183.0,43.816,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
184.0,43.816,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
185.0,42.355,Idle,Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,System,1
