Timestamp,CPU Temperature Core #1 (°C),CPU Temperature Core #2 (°C),CPU Temperature Core #3 (°C),CPU Temperature Core #4 (°C),CPU Temperature (°C),CPU Power (W),CPU Power Cores (W),CPU Graphics Power (W),GPU Temperature (°C),Relative Time (s),Mode,Attack Type,Attack,Host,Measurement,Run
09:30:49.000,44.0,43.0,42.0,44.0,45.0,3.2,0.8,0.0,0.0,506.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:30:52.000,43.0,43.0,43.0,43.0,43.0,3.3,0.9,0.0,0.0,509.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:30:55.000,38.0,38.0,38.0,38.0,39.0,3.3,0.9,0.0,0.0,512.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:30:58.000,38.0,38.0,38.0,38.0,39.0,3.3,0.9,0.0,0.0,515.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:31:01.000,44.0,44.0,44.0,44.0,44.0,3.3,0.9,0.0,0.0,518.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:31:04.000,43.0,43.0,43.0,43.0,43.0,3.2,0.8,0.0,0.0,521.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:31:07.000,44.0,44.0,44.0,44.0,44.0,3.1,0.7,0.0,0.0,524.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:31:10.000,39.0,39.0,39.0,39.0,40.0,3.1,0.7,0.0,0.0,527.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:31:13.000,38.0,38.0,38.0,38.0,39.0,3.3,0.9,0.0,0.0,530.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
09:31:16.000,37.0,37.0,37.0,37.0,39.0,3.2,0.8,0.0,0.0,533.0,Idle,Cryptojacking,CoinIMP (CPU) (0%),ASUS Zenbook UX51VZ,Open Hardware Monitor,1
