Horodatage;Timestamp (s);Tension (V);Courant (A);Puissance (W)
2025-03-30 19:56/48;63.63;2.41;0.51;2.55
2025-03-30 19:56/49;64.73;2.38;0.65;3.26
2025-03-30 19:56/50;65.83;2.37;0.68;3.39
2025-03-30 19:56/51;66.94;2.37;0.71;3.53
2025-03-30 19:56/52;68.04;2.38;0.64;3.18
2025-03-30 19:56/53;69.14;2.38;0.67;3.37
2025-03-30 19:56/54;70.24;2.36;0.75;3.75
2025-03-30 19:56/55;71.34;2.36;0.78;3.90
2025-03-30 19:56/56;72.44;2.37;0.72;3.61
2025-03-30 19:56/57;73.54;2.36;0.75;3.73
2025-03-30 19:56/59;74.64;2.37;0.72;3.58
2025-03-30 19:57/00;75.75;2.36;0.75;3.75
2025-03-30 19:57/01;76.85;2.35;0.79;3.94
2025-03-30 19:57/02;77.95;2.35;0.80;4.02
2025-03-30 19:57/03;79.05;2.36;0.73;3.67
2025-03-30 19:57/04;80.15;2.36;0.74;3.71
2025-03-30 19:57/05;81.26;2.36;0.75;3.73
2025-03-30 19:57/06;82.36;2.36;0.74;3.71
2025-03-30 19:57/07;83.46;2.35;0.80;4.00
2025-03-30 19:57/08;84.56;2.35;0.78;3.92
2025-03-30 19:57/10;85.66;2.36;0.76;3.78
2025-03-30 19:57/11;86.76;2.36;0.75;3.75
2025-03-30 19:57/12;87.87;2.34;0.85;4.27
2025-03-30 19:57/13;88.97;2.34;0.85;4.27
2025-03-30 19:57/14;90.07;2.36;0.74;3.71
2025-03-30 19:57/15;91.17;2.37;0.72;3.62
2025-03-30 19:57/16;92.27;2.36;0.76;3.80
2025-03-30 19:57/17;93.38;2.35;0.84;4.19
2025-03-30 19:57/18;94.48;2.35;0.82;4.12
2025-03-30 19:57/19;95.58;2.35;0.83;4.13
2025-03-30 19:57/21;96.68;2.34;0.85;4.27
2025-03-30 19:57/22;97.78;2.35;0.80;3.99
2025-03-30 19:57/23;98.88;2.35;0.81;4.06
2025-03-30 19:57/24;99.99;2.34;0.87;4.37
2025-03-30 19:57/25;101.09;2.37;0.72;3.59
2025-03-30 19:57/26;102.19;2.35;0.83;4.15
2025-03-30 19:57/27;103.29;2.35;0.79;3.96
2025-03-30 19:57/28;104.39;2.36;0.73;3.66
2025-03-30 19:57/29;105.49;2.36;0.77;3.86
2025-03-30 19:57/30;106.6;2.36;0.77;3.87
2025-03-30 19:57/32;107.7;2.36;0.75;3.73
2025-03-30 19:57/33;108.8;2.36;0.77;3.87
2025-03-30 19:57/34;109.9;2.36;0.75;3.74
2025-03-30 19:57/35;111.0;2.35;0.80;4.00
2025-03-30 19:57/36;112.11;2.36;0.74;3.70
2025-03-30 19:57/37;113.21;2.35;0.80;3.98
2025-03-30 19:57/38;114.31;2.36;0.77;3.86
2025-03-30 19:57/39;115.41;2.35;0.79;3.96
2025-03-30 19:57/40;116.51;2.36;0.73;3.66
2025-03-30 19:57/41;117.61;2.36;0.75;3.74
2025-03-30 19:57/43;118.72;2.36;0.75;3.76
2025-03-30 19:57/44;119.82;2.36;0.77;3.84
2025-03-30 19:57/45;120.92;2.34;0.84;4.20
2025-03-30 19:57/46;122.02;2.35;0.81;4.04
2025-03-30 19:57/47;123.12;2.35;0.81;4.07
2025-03-30 19:57/48;124.23;2.35;0.79;3.96
2025-03-30 19:57/49;125.32;2.35;0.82;4.12
2025-03-30 19:57/50;126.42;2.36;0.76;3.79
2025-03-30 19:57/51;127.53;2.36;0.77;3.83
