Horodatage;Timestamp (s);Tension (V);Courant (A);Puissance (W)
2025-05-04 19:58:04;147.37;2.39;0.57;2.84
2025-05-04 19:58:06;148.47;2.37;0.70;3.51
2025-05-04 19:58:07;149.57;2.37;0.72;3.58
2025-05-04 19:58:08;150.67;2.37;0.69;3.46
2025-05-04 19:58:09;151.77;2.37;0.68;3.42
2025-05-04 19:58:10;152.87;2.38;0.66;3.30
2025-05-04 19:58:11;153.98;2.38;0.65;3.24
2025-05-04 19:58:12;155.08;2.37;0.69;3.47
2025-05-04 19:58:13;156.18;2.37;0.68;3.42
2025-05-04 19:58:14;157.28;2.36;0.76;3.78
2025-05-04 19:58:16;158.38;2.37;0.70;3.49
2025-05-04 19:58:17;159.48;2.35;0.80;4.00
2025-05-04 19:58:18;160.59;2.36;0.74;3.71
2025-05-04 19:58:19;161.69;2.37;0.69;3.43
2025-05-04 19:58:20;162.79;2.37;0.71;3.54
2025-05-04 19:58:21;163.89;2.37;0.69;3.43
2025-05-04 19:58:22;164.99;2.38;0.66;3.32
2025-05-04 19:58:23;166.1;2.37;0.68;3.39
2025-05-04 19:58:24;167.2;2.37;0.68;3.41
2025-05-04 19:58:25;168.3;2.38;0.64;3.18
2025-05-04 19:58:27;169.4;2.39;0.59;2.95
2025-05-04 19:58:28;170.5;2.39;0.61;3.05
2025-05-04 19:58:29;171.6;2.38;0.64;3.21
2025-05-04 19:58:30;172.71;2.39;0.58;2.91
2025-05-04 19:58:31;173.81;2.40;0.56;2.79
2025-05-04 19:58:32;174.91;2.39;0.60;3.00
2025-05-04 19:58:33;176.01;2.39;0.59;2.95
2025-05-04 19:58:34;177.11;2.39;0.62;3.09
2025-05-04 19:58:35;178.22;2.37;0.68;3.42
2025-05-04 19:58:36;179.32;2.37;0.68;3.38
2025-05-04 19:58:38;180.42;2.38;0.67;3.33
2025-05-04 19:58:39;181.52;2.37;0.72;3.59
2025-05-04 19:58:40;182.62;2.38;0.66;3.32
2025-05-04 19:58:41;183.72;2.37;0.70;3.51
2025-05-04 19:58:42;184.82;2.35;0.83;4.17
2025-05-04 19:58:43;185.92;2.36;0.78;3.90
2025-05-04 19:58:44;187.03;2.37;0.68;3.42
2025-05-04 19:58:45;188.13;2.36;0.75;3.76
2025-05-04 19:58:46;189.23;2.38;0.66;3.29
2025-05-04 19:58:47;190.33;2.34;0.86;4.32
2025-05-04 19:58:49;191.43;2.38;0.66;3.32
2025-05-04 19:58:50;192.53;2.39;0.59;2.95
2025-05-04 19:58:51;193.64;2.37;0.69;3.43
2025-05-04 19:58:52;194.74;2.37;0.69;3.45
2025-05-04 19:58:53;195.84;2.39;0.61;3.06
2025-05-04 19:58:54;196.94;2.39;0.62;3.10
2025-05-04 19:58:55;198.04;2.39;0.59;2.93
2025-05-04 19:58:56;199.15;2.38;0.63;3.14
2025-05-04 19:58:57;200.25;2.38;0.66;3.28
2025-05-04 19:58:58;201.35;2.37;0.68;3.42
2025-05-04 19:59:00;202.45;2.38;0.64;3.20
2025-05-04 19:59:01;203.55;2.39;0.57;2.85
2025-05-04 19:59:02;204.65;2.37;0.68;3.39
2025-05-04 19:59:03;205.76;2.38;0.66;3.29
2025-05-04 19:59:04;206.86;2.38;0.65;3.25
2025-05-04 19:59:05;207.96;2.38;0.67;3.36
2025-05-04 19:59:06;209.06;2.38;0.63;3.17
2025-05-04 19:59:07;210.16;2.38;0.66;3.30
2025-05-04 19:59:08;211.27;2.38;0.66;3.29
2025-05-04 19:59:09;212.37;2.37;0.69;3.46
2025-05-04 19:59:11;213.47;2.38;0.63;3.13
2025-05-04 19:59:12;214.57;2.39;0.60;2.99
2025-05-04 19:59:13;215.67;2.39;0.60;3.01
2025-05-04 19:59:14;216.77;2.38;0.63;3.13
2025-05-04 19:59:15;217.88;2.35;0.82;4.10
2025-05-04 19:59:16;218.98;2.36;0.75;3.73
2025-05-04 19:59:17;220.08;2.35;0.79;3.95
2025-05-04 19:59:18;221.18;2.36;0.76;3.79
2025-05-04 19:59:19;222.28;2.35;0.79;3.94
2025-05-04 19:59:21;223.38;2.36;0.76;3.79
2025-05-04 19:59:22;224.49;2.39;0.59;2.96
2025-05-04 19:59:23;225.59;2.38;0.62;3.12
2025-05-04 19:59:24;226.69;2.38;0.65;3.25
2025-05-04 19:59:25;227.79;2.39;0.60;2.99
2025-05-04 19:59:26;228.89;2.39;0.61;3.05
2025-05-04 19:59:27;230.0;2.39;0.60;3.01
2025-05-04 19:59:28;231.1;2.39;0.61;3.03
2025-05-04 19:59:29;232.2;2.39;0.58;2.92
2025-05-04 19:59:30;233.3;2.39;0.61;3.03
2025-05-04 19:59:32;234.4;2.40;0.56;2.79
2025-05-04 19:59:33;235.5;2.39;0.62;3.08
2025-05-04 19:59:34;236.61;2.39;0.59;2.97
2025-05-04 19:59:35;237.71;2.39;0.59;2.93
2025-05-04 19:59:36;238.81;2.39;0.60;3.00
2025-05-04 19:59:37;239.91;2.39;0.58;2.88
2025-05-04 19:59:38;241.01;2.37;0.71;3.54
2025-05-04 19:59:39;242.11;2.39;0.62;3.09
2025-05-04 19:59:40;243.22;2.38;0.66;3.30
2025-05-04 19:59:41;244.32;2.38;0.63;3.17
