Attack Type,Attack,Host,Run,Mode,CPU Usage (%),CPU Temperature (°C),Power (W),Memory Usage (%),Voltage (V),Voltage Adjusted (V),Current (A),CPU Temperature Core #1 (°C),CPU Temperature Core #2 (°C),CPU Temperature Core #3 (°C),CPU Temperature Core #4 (°C),CPU Power (W),CPU Power Cores (W),CPU Graphics Power (W),GPU Temperature (°C),GPU Usage (%),GPU Memory Usage (%),GPU Power (W),CPU Usage User (%),CPU Usage System (%),CPU Usage Wait (%),Processes Runnable,Processes Blocked,Process Switches,Process Forks,Process Execs,Network lo Received (Ko/s),Network eth0 Received (Ko/s),Network wlan0 Received (Ko/s),Network lo Sent (Ko/s),Network eth0 Sent (Ko/s),Network wlan0 Sent (Ko/s),Network Packet lo Received,Network Packet eth0 Received,Network Packet wlan0 Received,Network Packet lo Sent,Network Packet eth0 Sent,Network Packet wlan0 Sent,Disk mmcblk0 Usage (%),Disk mmcblk0p1 Usage (%),Disk mmcblk0p2 Usage (%),Disk mmcblk0 Read (Ko/s),Disk mmcblk0p1 Read (Ko/s),Disk mmcblk0p2 Read (Ko/s),Disk mmcblk0 Write (Ko/s),Disk mmcblk0p1 Write (Ko/s),Disk mmcblk0p2 Write (Ko/s),Disk mmcblk0 Block Size (Ko),Disk mmcblk0p1 Block Size (Ko),Disk mmcblk0p2 Block Size (Ko),Disk mmcblk0 Transfers,Disk mmcblk0p1 Transfers,Disk mmcblk0p2 Transfers,JFS dev Usage (%),JFS run Usage (%),JFS Usage (%),JFS boot/firmware Usage (%),Memory Active (%),Memory Buffers (%),Memory Cached (%),Memory Inactive (%),Disk mmcblk1 Usage (%),Disk mmcblk1p1 Usage (%),Disk mmcblk1p2 Usage (%),Disk mmcblk1 Read (Ko/s),Disk mmcblk1p1 Read (Ko/s),Disk mmcblk1p2 Read (Ko/s),Disk mmcblk1 Write (Ko/s),Disk mmcblk1p1 Write (Ko/s),Disk mmcblk1p2 Write (Ko/s),Disk mmcblk1 Block Size (Ko),Disk mmcblk1p1 Block Size (Ko),Disk mmcblk1p2 Block Size (Ko),Disk mmcblk1 Transfers,Disk mmcblk1p1 Transfers,Disk mmcblk1p2 Transfers,Network (Ko/s),Disk Read (Mo/s),Disk Write (Mo/s),Encrypted Files,Encrypted Disk Usage (%),Encrypted Files Size (Mo),Encryption Speed (o/s)
Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Attack,25.16,45.22,3.86,19.97,,,0.77,,,,,,,,,,,,20.18,3.35,1.61,3.38,0.16,1216.23,2.06,0.0,0.0,0.0,0.03,0.0,0.0,-0.12,0.0,0.0,0.42,0.0,0.0,0.62,2.3,0.0,2.3,1884.5,0.0,1884.5,6.88,0.0,6.88,5.08,0.0,5.08,23.08,0.0,23.08,0.0,0.2,8.5,28.0,1.26,0.33,2.23,15.96,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.36,42.94,2.93,6.19,,,0.59,,,,,,,,,,,,0.09,0.22,0.04,1.01,0.0,112.56,2.18,0.0,0.0,0.0,0.01,0.0,0.0,-0.01,0.0,0.0,0.1,0.0,0.0,0.08,0.24,0.0,0.24,16.22,0.0,16.22,7.95,0.0,7.95,2.79,0.0,2.79,1.57,0.0,1.57,0.0,0.2,8.5,28.0,1.37,0.35,2.38,1.97,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Recovery,0.31,45.63,3.28,4.49,,,0.66,,,,,,,,,,,,0.04,0.2,0.05,1.0,0.0,146.45,2.13,0.0,0.0,0.0,0.09,0.0,0.0,-0.09,0.0,0.0,1.32,0.0,0.0,0.82,0.25,0.0,0.26,14.43,0.0,14.43,8.0,0.0,8.0,3.89,0.0,3.89,1.31,0.0,1.31,0.0,0.2,8.5,28.0,0.39,0.12,0.85,1.17,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,Goloris (HTTP),HOSAFE HX-2PT1,1,Attack,,,1.29,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,Goloris (HTTP),HOSAFE HX-2PT1,1,Idle,,,1.2,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,Goloris (HTTP),HOSAFE HX-2PT1,1,Recovery,,,1.06,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,Goloris (HTTP),Raspberry Pi 4B 4GB,1,Attack,1.34,,3.09,5.83,,,0.62,,,,,,,,,,,,0.34,0.98,0.04,1.41,0.1,3376.31,0.05,0.0,0.0,0.0,5.78,0.0,0.0,-9.42,0.0,0.0,112.61,0.0,0.0,120.52,,,,,,,,,,,,,,,,0.0,0.2,5.5,28.0,1.08,0.3,2.05,2.12,0.16,0.0,0.16,2.63,0.0,2.63,7.08,0.0,7.08,3.1,0.0,3.1,0.92,0.0,0.92,,,,,,,
Denial of Service,Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.16,,2.43,5.43,,,0.49,,,,,,,,,,,,0.04,0.07,0.05,1.0,0.02,60.51,0.08,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.02,0.0,0.0,0.02,,,,,,,,,,,,,,,,0.0,0.2,5.5,28.0,1.08,0.3,1.94,1.74,0.25,0.0,0.25,16.8,0.0,16.8,10.42,0.0,10.42,4.37,0.0,4.37,1.21,0.0,1.21,,,,,,,
Denial of Service,Goloris (HTTP),Raspberry Pi 4B 4GB,1,Recovery,0.09,,2.53,5.41,,,0.51,,,,,,,,,,,,0.01,0.04,0.03,1.0,0.0,67.85,0.06,0.0,0.0,0.0,0.01,0.0,0.0,-0.5,0.0,0.0,0.22,0.0,0.0,7.82,,,,,,,,,,,,,,,,0.0,0.2,5.5,28.0,1.09,0.31,2.05,1.84,0.14,0.0,0.14,0.0,0.0,0.0,6.24,0.0,6.24,2.07,0.0,2.07,0.81,0.0,0.81,,,,,,,
Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,1,Attack,0.26,41.34,2.89,6.3,,,0.58,,,,,,,,,,,,0.04,0.17,0.03,1.01,0.01,105.11,2.04,0.0,0.0,0.0,0.01,0.0,0.0,-0.0,0.0,0.0,0.08,0.0,0.0,0.02,0.2,0.0,0.2,0.0,0.0,0.0,8.43,0.0,8.43,2.6,0.0,2.6,1.1,0.0,1.1,0.0,0.2,8.5,28.0,1.3,0.33,2.36,2.09,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.31,40.72,2.9,5.9,,,0.58,,,,,,,,,,,,0.06,0.19,0.06,1.0,0.0,108.27,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.06,0.0,0.0,0.02,0.34,0.0,0.35,42.9,0.0,42.9,10.18,0.0,10.18,4.0,0.0,4.0,1.93,0.0,1.93,0.0,0.2,8.5,28.0,1.28,0.31,2.21,1.82,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,HULK (HTTP),Raspberry Pi 4B 4GB,1,Recovery,0.27,41.68,2.91,6.19,,,0.58,,,,,,,,,,,,0.05,0.18,0.03,1.01,0.0,106.82,2.06,0.0,0.0,0.0,0.01,0.0,0.0,-0.01,0.0,0.0,0.1,0.0,0.0,0.04,0.18,0.0,0.18,0.12,0.0,0.12,8.77,0.0,8.77,2.36,0.0,2.36,1.12,0.0,1.12,0.0,0.2,8.5,28.0,1.31,0.34,2.37,1.98,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,Hping3 (SYN),D-Link DIR-822,1,Attack,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,Hping3 (SYN),D-Link DIR-822,1,Idle,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,Hping3 (SYN),HOSAFE HX-2PT1,1,Attack,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,Hping3 (SYN),HOSAFE HX-2PT1,1,Idle,,,3.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,Hping3 (SYN),Huawei H151-381,1,Attack,,,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,Hping3 (SYN),Huawei H151-381,1,Idle,,,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,Hping3 (SYN),TP-Link Tapo C200,1,Attack,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,Hping3 (SYN),TP-Link Tapo C200,1,Idle,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,MHDDoS (ICMP),HOSAFE HX-2PT1,1,Attack,,,1.28,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,,,1.26,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,MHDDoS (ICMP),HOSAFE HX-2PT1,1,Recovery,,,1.08,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Attack,43.71,,4.88,8.08,,,0.98,,,,,,,,,,,,13.85,29.84,0.02,2.74,0.0,39821.25,0.07,0.0,0.0,0.0,184.06,0.0,0.0,-12455.43,0.0,0.0,288.21,0.0,0.0,19617.57,,,,,,,,,,,,,,,,0.0,0.2,7.7,28.0,1.85,0.4,3.85,3.71,0.16,0.0,0.16,0.0,0.0,0.0,6.92,0.0,6.92,2.94,0.0,2.94,0.81,0.0,0.81,,,,,,,
Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Idle,0.16,,2.32,7.41,,,0.46,,,,,,,,,,,,0.08,0.06,0.02,1.01,0.0,50.43,0.02,0.0,0.0,0.0,0.01,0.0,0.0,-0.0,0.0,0.0,0.06,0.0,0.0,0.01,,,,,,,,,,,,,,,,0.0,0.2,7.7,28.0,1.85,0.39,3.85,2.99,0.12,0.0,0.12,0.0,0.0,0.0,6.0,0.0,6.0,2.66,0.0,2.66,0.72,0.0,0.72,,,,,,,
Denial of Service,MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Recovery,0.08,,2.51,7.08,,,0.5,,,,,,,,,,,,0.02,0.04,0.02,1.01,0.0,54.13,0.06,0.0,0.0,0.0,0.58,0.0,0.0,-0.0,0.0,0.0,1.02,0.0,0.0,0.02,,,,,,,,,,,,,,,,0.0,0.2,7.7,28.0,1.86,0.4,3.85,2.98,0.12,0.0,0.12,0.0,0.0,0.0,5.48,0.0,5.48,2.29,0.0,2.29,0.7,0.0,0.7,,,,,,,
Denial of Service,MHDDoS (TCP),HOSAFE HX-2PT1,1,Attack,,,1.54,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,MHDDoS (TCP),HOSAFE HX-2PT1,1,Idle,,,1.18,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denial of Service,MHDDoS (TCP),HOSAFE HX-2PT1,1,Recovery,,,1.19,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
