Timestamp;CPU Core #1 Temp (°C);CPU Core #2 Temp (°C);CPU Core #3 Temp (°C);CPU Core #4 Temp (°C);CPU Package Temp (°C);CPU Package Power (W);CPU Cores Power (W);CPU Graphics Power (W);CPU Total Load (%);RAM Load (%);GPU Core Temp (°C);GPU Core Load (%);GPU Memory Load (%)
2025-06-10 11:54:42;49,0 °C;51,0 °C;49,0 °C;50,0 °C;55,0 °C;15,5 W;11,0 W;0,0 W;7,8 %;46,2 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:54:44;49,0 °C;50,0 °C;50,0 °C;50,0 °C;55,0 °C;18,6 W;14,1 W;0,0 W;12,2 %;46,1 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:54:46;47,0 °C;48,0 °C;49,0 °C;49,0 °C;55,0 °C;7,5 W;3,2 W;0,1 W;7,2 %;46,1 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:54:48;49,0 °C;50,0 °C;49,0 °C;62,0 °C;62,0 °C;8,3 W;3,2 W;0,1 W;2,7 %;46,1 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:54:50;48,0 °C;49,0 °C;48,0 °C;50,0 °C;55,0 °C;8,7 W;4,3 W;0,1 W;9,6 %;46,1 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:54:52;47,0 °C;49,0 °C;48,0 °C;48,0 °C;54,0 °C;7,4 W;3,4 W;0,1 W;3,1 %;46,1 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:54:54;50,0 °C;49,0 °C;49,0 °C;49,0 °C;55,0 °C;15,6 W;10,9 W;0,0 W;8,9 %;46,1 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:54:56;49,0 °C;50,0 °C;49,0 °C;51,0 °C;55,0 °C;14,8 W;10,5 W;0,0 W;9,8 %;46,1 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:54:58;48,0 °C;49,0 °C;49,0 °C;48,0 °C;53,0 °C;7,2 W;2,7 W;0,1 W;4,1 %;46,1 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:55:00;49,0 °C;61,0 °C;48,0 °C;52,0 °C;61,0 °C;13,9 W;9,5 W;0,0 W;9,4 %;46,1 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:55:02;49,0 °C;49,0 °C;49,0 °C;48,0 °C;55,0 °C;15,7 W;11,3 W;0,0 W;8,5 %;46,1 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:55:04;47,0 °C;49,0 °C;49,0 °C;49,0 °C;55,0 °C;15,3 W;10,7 W;0,0 W;11,0 %;46,2 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:55:06;49,0 °C;49,0 °C;48,0 °C;49,0 °C;55,0 °C;13,6 W;9,3 W;0,0 W;7,8 %;46,1 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:55:08;49,0 °C;50,0 °C;49,0 °C;49,0 °C;55,0 °C;14,4 W;10,0 W;0,0 W;9,2 %;46,1 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:55:10;48,0 °C;50,0 °C;50,0 °C;50,0 °C;56,0 °C;16,0 W;11,8 W;0,0 W;8,0 %;46,1 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:55:12;49,0 °C;50,0 °C;49,0 °C;50,0 °C;54,0 °C;7,9 W;3,5 W;0,1 W;6,1 %;46,1 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:55:14;56,0 °C;52,0 °C;50,0 °C;52,0 °C;56,0 °C;15,2 W;10,9 W;0,0 W;7,9 %;46,1 %;0,0 °C;0,0 %;2,4 %
2025-06-10 11:55:16;49,0 °C;61,0 °C;50,0 °C;54,0 °C;61,0 °C;15,1 W;10,7 W;0,0 W;8,0 %;46,2 %;0,0 °C;0,0 %;2,4 %
