Timestamp,Power (W),Relative Time (s),Mode,Attack Type,Attack,Host,Measurement,Run
01:09:30.000,64.8,570.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:09:35.000,64.8,575.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:09:40.000,64.8,580.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:09:45.000,65.1,585.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:09:50.000,64.8,590.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:09:55.000,65.4,595.0,Attack,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:10:00.000,65.1,600.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:10:05.000,30.3,605.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:10:10.000,19.6,610.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:10:15.000,20.0,615.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:10:20.000,19.6,620.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:10:25.000,18.7,625.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:10:30.000,19.0,630.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:10:35.000,18.4,635.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:10:40.000,19.0,640.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:10:45.000,17.5,645.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:10:50.000,18.1,650.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:10:55.000,18.4,655.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
01:11:00.000,18.4,660.0,Recovery,Cryptojacking,CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,Kuman KW47,1
